Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003016027024.CEL	TG_hum_vit_AM_Ctl_2hr_1	No	5098011LRA	Homo sapiens	5098011LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098011LRA	P-MTAB-23090	5098011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016027024	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	2	hour
003016027025.CEL	TG_hum_vit_AM_Ctl_2hr_2	No	5098012LRA	Homo sapiens	5098012LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098012LRA	P-MTAB-23090	5098012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016027025	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	2	hour
003016028006.CEL	TG_hum_vit_AM_Ctl_8hr_1	No	5098021LRA	Homo sapiens	5098021LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098021LRA	P-MTAB-23090	5098021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028006	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	8	hour
003016028007.CEL	TG_hum_vit_AM_Ctl_8hr_2	No	5098022LRA	Homo sapiens	5098022LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098022LRA	P-MTAB-23090	5098022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028007	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	8	hour
003016028014.CEL	TG_hum_vit_AM_Ctl_24hr_1	No	5098031LRA	Homo sapiens	5098031LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098031LRA	P-MTAB-23090	5098031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028014	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	24	hour
003016028015.CEL	TG_hum_vit_AM_Ctl_24hr_2	No	5098032LRA	Homo sapiens	5098032LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Control	cell	P-MTAB-23086	P-MTAB-23087	5098032LRA	P-MTAB-23090	5098032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028015	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	24	hour
003016027026.CEL	TG_hum_vit_AM_Low_2hr_1	Yes	5098041LRA	Homo sapiens	5098041LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098041LRA	P-MTAB-23090	5098041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016027026	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	2	hour
003016028001.CEL	TG_hum_vit_AM_Low_2hr_2	Yes	5098042LRA	Homo sapiens	5098042LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098042LRA	P-MTAB-23090	5098042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028001	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	2	hour
003016028008.CEL	TG_hum_vit_AM_Low_8hr_1	Yes	5098051LRA	Homo sapiens	5098051LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098051LRA	P-MTAB-23090	5098051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028008	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	8	hour
003016028009.CEL	TG_hum_vit_AM_Low_8hr_2	Yes	5098052LRA	Homo sapiens	5098052LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-Low	cell	P-MTAB-23086	P-MTAB-23087	5098052LRA	P-MTAB-23090	5098052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028009	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	8	hour
