Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003017362007.CEL	TG_rat_vit_Ami_ctl_2h_1	No	3017077026	Rattus norvegicus	5039011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193041LRA	5193041LRA:biotin	biotin	P-MTAB-23069	3017362007	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	2	hour
003017362008.CEL	TG_rat_vit_Ami_ctl_2h_2	No	3017077027	Rattus norvegicus	5039012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193042LRA	5193042LRA:biotin	biotin	P-MTAB-23069	3017362008	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	2	hour
003017362015.CEL	TG_rat_vit_Ami_ctl_8h_1	No	3017078004	Rattus norvegicus	5039021LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193051LRA	5193051LRA:biotin	biotin	P-MTAB-23069	3017362015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	8	hour
003017362016.CEL	TG_rat_vit_Ami_ctl_8h_2	No	3017078005	Rattus norvegicus	5039022LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193052LRA	5193052LRA:biotin	biotin	P-MTAB-23069	3017362016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	8	hour
003017362023.CEL	TG_rat_vit_Ami_ctl_24h_1	No	3017078012	Rattus norvegicus	5039031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193061LRA	5193061LRA:biotin	biotin	P-MTAB-23069	3017362023	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	24	hour
003017362024.CEL	TG_rat_vit_Ami_ctl_24h_2	No	3017078013	Rattus norvegicus	5039032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Control - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5193062LRA	5193062LRA:biotin	biotin	P-MTAB-23069	3017362024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	24	hour
003017594025.CEL	TG_rat_vit_Ami_280nm_2h_1	Yes	3017077028	Rattus norvegicus	5039041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200121LRA	5200121LRA:biotin	biotin	P-MTAB-23069	3017594025	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	2	hour
003017594026.CEL	TG_rat_vit_Ami_280nm_2h_2	Yes	3017077029	Rattus norvegicus	5039042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200122LRA	5200122LRA:biotin	biotin	P-MTAB-23069	3017594026	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	2	hour
003017007014.CEL	TG_rat_vit_Ami_280nm_8h_1	Yes	3017078006	Rattus norvegicus	5039051LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5009011LRA	5009011LRA:biotin	biotin	P-MTAB-23069	3017007014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	8	hour
003017007015.CEL	TG_rat_vit_Ami_280nm_8h_2	Yes	3017078007	Rattus norvegicus	5039052LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	amiodarone	Low - amiodarone	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5009012LRA	5009012LRA:biotin	biotin	P-MTAB-23069	3017007015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.3.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	0.28	micromolar	8	hour
