Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]	Factor Value[organism part]
003017633004.CEL	TG_rat_viv_Ami_200mg_24h_1	Yes	3017633004	Rattus norvegicus	634073	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634073LRA	RNA	P-MTAB-22990	0634073LRA:biotin	biotin	P-MTAB-22991	3017633004	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	24	hour	liver
003017633005.CEL	TG_rat_viv_Ami_200mg_24h_2	Yes	3017633005	Rattus norvegicus	634074	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634074LRA	RNA	P-MTAB-22990	0634074LRA:biotin	biotin	P-MTAB-22991	3017633005	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	24	hour	liver
003017633006.CEL	TG_rat_viv_Ami_200mg_24h_3	Yes	3017633006	Rattus norvegicus	634075	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634075LRA	RNA	P-MTAB-22990	0634075LRA:biotin	biotin	P-MTAB-22991	3017633006	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	24	hour	liver
003017633016.CEL	TG_rat_viv_Ami_200mg_24h_4	Yes	3017633016	Rattus norvegicus	634081	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634081LRA	RNA	P-MTAB-22990	0634081LRA:biotin	biotin	P-MTAB-22991	3017633016	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	24	hour	liver
003017633017.CEL	TG_rat_viv_Ami_200mg_3h_1	Yes	3017633017	Rattus norvegicus	634083	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634083LRA	RNA	P-MTAB-22990	0634083LRA:biotin	biotin	P-MTAB-22991	3017633017	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017633018.CEL	TG_rat_viv_Ami_200mg_3h_2	Yes	3017633018	Rattus norvegicus	634084	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634084LRA	RNA	P-MTAB-22990	0634084LRA:biotin	biotin	P-MTAB-22991	3017633018	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017633028.CEL	TG_rat_viv_Ami_200mg_3h_3	Yes	3017633028	Rattus norvegicus	634051	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634051LRA	RNA	P-MTAB-22990	0634051LRA:biotin	biotin	P-MTAB-22991	3017633028	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017633029.CEL	TG_rat_viv_Ami_200mg_3h_4	Yes	3017633029	Rattus norvegicus	634052	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634052LRA	RNA	P-MTAB-22990	0634052LRA:biotin	biotin	P-MTAB-22991	3017633029	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017633030.CEL	TG_rat_viv_Ami_200mg_3h_5	Yes	3017633030	Rattus norvegicus	634053	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634053LRA	RNA	P-MTAB-22990	0634053LRA:biotin	biotin	P-MTAB-22991	3017633030	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017634010.CEL	TG_rat_viv_Ami_200mg_3h_6	Yes	3017634010	Rattus norvegicus	634061	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634061LRA	RNA	P-MTAB-22990	0634061LRA:biotin	biotin	P-MTAB-22991	3017634010	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017634011.CEL	TG_rat_viv_Ami_200mg_3h_7	Yes	3017634011	Rattus norvegicus	634062	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634062LRA	RNA	P-MTAB-22990	0634062LRA:biotin	biotin	P-MTAB-22991	3017634011	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017634012.CEL	TG_rat_viv_Ami_200mg_3h_8	Yes	3017634012	Rattus norvegicus	634064	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634064LRA	RNA	P-MTAB-22990	0634064LRA:biotin	biotin	P-MTAB-22991	3017634012	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	200	milligram per kilogram	3	hour	liver
003017633007.CEL	TG_rat_viv_Ami_600mg_3h_1	Yes	3017633007	Rattus norvegicus	634112	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634112LRA	RNA	P-MTAB-22990	0634112LRA:biotin	biotin	P-MTAB-22991	3017633007	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633008.CEL	TG_rat_viv_Ami_600mg_3h_2	Yes	3017633008	Rattus norvegicus	634113	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634113LRA	RNA	P-MTAB-22990	0634113LRA:biotin	biotin	P-MTAB-22991	3017633008	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633009.CEL	TG_rat_viv_Ami_600mg_3h_3	Yes	3017633009	Rattus norvegicus	634115	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634115LRA	RNA	P-MTAB-22990	0634115LRA:biotin	biotin	P-MTAB-22991	3017633009	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633019.CEL	TG_rat_viv_Ami_600mg_3h_4	Yes	3017633019	Rattus norvegicus	634121	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634121LRA	RNA	P-MTAB-22990	0634121LRA:biotin	biotin	P-MTAB-22991	3017633019	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633020.CEL	TG_rat_viv_Ami_600mg_3h_5	Yes	3017633020	Rattus norvegicus	634124	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634124LRA	RNA	P-MTAB-22990	0634124LRA:biotin	biotin	P-MTAB-22991	3017633020	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633021.CEL	TG_rat_viv_Ami_600mg_3h_6	Yes	3017633021	Rattus norvegicus	634125	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634125LRA	RNA	P-MTAB-22990	0634125LRA:biotin	biotin	P-MTAB-22991	3017633021	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017634001.CEL	TG_rat_viv_Ami_600mg_3h_7	Yes	3017634001	Rattus norvegicus	634092	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634092LRA	RNA	P-MTAB-22990	0634092LRA:biotin	biotin	P-MTAB-22991	3017634001	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017634002.CEL	TG_rat_viv_Ami_600mg_3h_8	Yes	3017634002	Rattus norvegicus	634093	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634093LRA	RNA	P-MTAB-22990	0634093LRA:biotin	biotin	P-MTAB-22991	3017634002	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
