Total.unannotated.genes.analyzed	Genes.annotated.by.PubMed.only	Genes.annotated.by.NCBI.only	Genes.annotated.by.both.PubMed.and.NCBI	Genes.with.no.hits.in.either.source
DNAJC7	ABHD4	HEATR5B	0	ZNF627
PRR35	ALS2	UQCC6	0	LOC101927143
LENG8	AP3M2	0	0	RN7SL301P
MYBPH	CARTPT	0	0	HMGB3P1
ZNF627	CCDC127	0	0	CDH22
ZNF428	CD99P1	0	0	MCHR2-AS1
LOC101927143	CDCA7L	0	0	CD63-AS1
PANTR1	CERS5	0	0	BTG1-DT
NSUN3	CHCHD4	0	0	SNX11
RN7SL301P	CHP1	0	0	CCDC60
GLMN	DNAJC15	0	0	ZNF8-DT
CHCHD4	DNAJC7	0	0	AFG2B
TP53TG5	DPF1	0	0	MROH6
HMGB3P1	FAM210B	0	0	ADGRD2
PIM1	GLMN	0	0	METTL2A
CDH22	GNPDA2	0	0	LENG1
IL34	GPR153	0	0	0
MCHR2-AS1	IL34	0	0	0
TNFRSF10A-DT	KREMEN2	0	0	0
KREMEN2	LCMT1	0	0	0
FAM210B	LENG8	0	0	0
CD63-AS1	LNP1	0	0	0
AP3M2	LYRM2	0	0	0
CARTPT	MAPKAPK5-AS1	0	0	0
GNPDA2	MBIP	0	0	0
ALS2	MC1R	0	0	0
LYRM2	MIDN	0	0	0
BTG1-DT	MYBPH	0	0	0
SNX11	NSUN3	0	0	0
CDCA7L	NUTF2	0	0	0
VCF2	PAAF1	0	0	0
MBIP	PANTR1	0	0	0
DPF1	PDE1B	0	0	0
CCDC60	PIM1	0	0	0
CD99P1	PLEKHA1	0	0	0
CHP1	PRR35	0	0	0
TCAP	PRRC2C	0	0	0
ZNF8-DT	RBBP9	0	0	0
AFG2B	SECISBP2L	0	0	0
RBBP9	SGTA	0	0	0
MROH6	TBX3	0	0	0
PLEKHA1	TCAP	0	0	0
CERS5	TNFRSF10A-DT	0	0	0
GPR153	TP53TG5	0	0	0
PAAF1	UFSP1	0	0	0
USP48	USP48	0	0	0
LCMT1	VCF2	0	0	0
DNAJC15	ZNF428	0	0	0
MIDN	0	0	0	0
SGTA	0	0	0	0
ADGRD2	0	0	0	0
HEATR5B	0	0	0	0
MAPKAPK5-AS1	0	0	0	0
ABHD4	0	0	0	0
UQCC6	0	0	0	0
METTL2A	0	0	0	0
SECISBP2L	0	0	0	0
CCDC127	0	0	0	0
PDE1B	0	0	0	0
MC1R	0	0	0	0
TBX3	0	0	0	0
LENG1	0	0	0	0
LNP1	0	0	0	0
UFSP1	0	0	0	0
PRRC2C	0	0	0	0
NUTF2	0	0	0	0
