Total.unannotated.genes.analyzed	Genes.annotated.by.PubMed.only	Genes.annotated.by.NCBI.only	Genes.annotated.by.both.PubMed.and.NCBI	Genes.with.no.hits.in.either.source
TATDN3	ANKRD42	0	0	DNAI4
ARPC4	ANXA8	0	0	CENATAC
CDKL2	APLF	0	0	TMEM260
ETFBKMT	APPL2	0	0	RALGDSL3
MFHAS1	ARPC4	0	0	H1F4
UBXN8	CCDC68	0	0	0
TTLL7	CCSER2	0	0	0
ANKRD42	CDKL2	0	0	0
FNIP2	CYP4V3	0	0	0
IGF2BP2	DDI2	0	0	0
F2RL2	EIF4H	0	0	0
DNAI4	EPHB6	0	0	0
SLC29A1	ETFBKMT	0	0	0
ANXA8	EVC	0	0	0
SPATA33	EXOC6	0	0	0
LPP	F2RL2	0	0	0
CENATAC	FNIP2	0	0	0
NMT2	GSTT3	0	0	0
HBEGF	GTF3C5	0	0	0
CYP4V3	HBEGF	0	0	0
UPF3A	HDHD2	0	0	0
APLF	HID1	0	0	0
CCDC68	IGF2BP2	0	0	0
SCAF4	KLHL36	0	0	0
TMEM260	LPP	0	0	0
KLHL36	MED11	0	0	0
RALGDSL3	MED28	0	0	0
GSTT3	METTL7B	0	0	0
H1F4	MFHAS1	0	0	0
EIF4H	MKLN1	0	0	0
GTF3C5	MTIF2	0	0	0
MED28	NMT2	0	0	0
USP9X	NUP210	0	0	0
METTL7B	PLEK2	0	0	0
SUSD3	REXO4	0	0	0
MED11	SCAF4	0	0	0
PLEK2	SLC29A1	0	0	0
MTIF2	SNX10	0	0	0
TOE1	SPATA33	0	0	0
CCSER2	SUSD3	0	0	0
DDI2	TATDN3	0	0	0
HID1	TOE1	0	0	0
REXO4	TTLL7	0	0	0
EVC	UBXN8	0	0	0
APPL2	UPF3A	0	0	0
MKLN1	USP9X	0	0	0
HDHD2	VPS8	0	0	0
EPHB6	0	0	0	0
NUP210	0	0	0	0
EXOC6	0	0	0	0
SNX10	0	0	0	0
VPS8	0	0	0	0
