Total.unannotated.genes.analyzed	Genes.annotated.by.PubMed.only	Genes.annotated.by.NCBI.only	Genes.annotated.by.both.PubMed.and.NCBI	Genes.with.no.hits.in.either.source
MLH1	ALCAM	TMEM184C	0	C10H5ORF15
C10H5ORF15	ARFGAP2	0	0	DDX59
DDX59	CBX6	0	0	C13H1ORF74
C13H1ORF74	CCZ1	0	0	C3H11ORF96
CYP2J4	CFHR4	0	0	FRMD4B
ZFP189	CTSC	0	0	RXYLT1
C3H11ORF96	CYP2J4	0	0	TIGD2
NUAK1	CYP4A1	0	0	TEKTL1
DEDD2	DEDD2	0	0	TSEN2
FRMD4B	IDNK	0	0	0
PRCP	KLHL3	0	0	0
U2AF2	LCOR	0	0	0
KLHL3	LRCH1	0	0	0
CYP4A1	MLH1	0	0	0
SNX8	NPTXR	0	0	0
LRCH1	NPW	0	0	0
NPTXR	NUAK1	0	0	0
ZDHHC16	PCDH12	0	0	0
SH2D4A	PLK5	0	0	0
TMEM41A	PRCP	0	0	0
IDNK	PUSL1	0	0	0
RXYLT1	PXMP4	0	0	0
ALCAM	SCAMP3	0	0	0
PXMP4	SERBP1	0	0	0
TIGD2	SERGEF	0	0	0
NPW	SH2D4A	0	0	0
LCOR	SNX8	0	0	0
SSC5D	SSC5D	0	0	0
WWC3	TMEM108	0	0	0
CTSC	TMEM41A	0	0	0
PCDH12	TMIE	0	0	0
ZFP422	U2AF2	0	0	0
TEKTL1	WDR7	0	0	0
SCAMP3	WWC3	0	0	0
PLK5	ZDHHC16	0	0	0
CCZ1	ZFP189	0	0	0
SERGEF	ZFP422	0	0	0
CFHR4	0	0	0	0
PUSL1	0	0	0	0
TMEM108	0	0	0	0
CBX6	0	0	0	0
WDR7	0	0	0	0
TMEM184C	0	0	0	0
TSEN2	0	0	0	0
TMIE	0	0	0	0
SERBP1	0	0	0	0
ARFGAP2	0	0	0	0
