"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
"ULK1","GPT2","GNB3","RDX","GPT","HAMP","FNIP2","PLIN2","GCK","INSR","NUAK1","ECH1"
"INSR","PPARA","RN7SL301P","FGF21","CD14","IL1RN","HSPA4L","FGFR1","DHRS7","ABCG5","SNX8","NQO1"
"ACADM","KLB","PELI3","ADRB2",NA,"CD68","TRUB2","CYP17A1","RDX","ATP5IF1","NT5E","GSTT1"
NA,"PDK4","PIM1","IDE",NA,"FASN","STX17","GPAM","SCARB1","PINK1","ECI1","ALDH1B1"
NA,"PTEN","TCTA","CXCL10",NA,"GCK","RNF38","GSTT1","PEMT","GSTM1","PSKH1","TXNIP"
NA,"SUOX","ALS2","TLR2",NA,NA,"BMPR2","ADRB2","ERN1","ACAD10","ARFGAP2","HADHB"
NA,"HM13","CCDC60","NOS2",NA,NA,"HGFAC","ATG12","DGAT2","PPARA","PPM1A","PSMA5"
NA,"AR","MROH6","SOD1",NA,NA,"APTX","PRMT7","ABCG8","MET","TMEM204","ADIPOR2"
NA,"PRKCA","THOC2",NA,NA,NA,"OGT","ACOX1","GPT2","SIDT2","ELAC2","MYD88"
NA,"SERPINA6","CERS5",NA,NA,NA,"PAXIP1","ACAD10",NA,"GPD1L","SYVN1","STC2"
NA,"MLYCD","GPR153",NA,NA,NA,"DIP2B","SHC1",NA,"ACACA","LAPTM4B","IRS2"
NA,"LRP6","LCMT1",NA,NA,NA,"CAST","ACADVL",NA,"EIF2AK1","TMEM19","NR1H4"
NA,"SIDT2","ENSG00000267458",NA,NA,NA,"NIBAN1","COL3A1",NA,"ABCA1","MARCHF6","G6PD"
NA,"PRKACA","IL17RC",NA,NA,NA,"POLR2A","APOA1",NA,"STS","SEC22A","GPAM"
NA,"VLDLR","SECISBP2L",NA,NA,NA,"ENPEP","JAK2",NA,"KEAP1","TSPAN18","NR5A2"
NA,"HADHB","BPGM",NA,NA,NA,"DIS3L2","CPS1",NA,"NEIL1","CLCN4","AHR"
NA,"FTO","TBX3",NA,NA,NA,"RSRP1","FTO",NA,"MTTP","YKT6","PLAU"
