"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
"ENSG00000177169","ENSG00000166123","ENSG00000111664","ENSG00000137710","ENSRNOG00000033915","ENSRNOG00000021029","ENSRNOG00000027833","ENSRNOG00000007060","ENSRNOG00000061527","ENSRNOG00000029986","ENSRNOG00000008061","ENSRNOG00000020308"
"ENSG00000171105","ENSG00000186951","ENSG00000276014","ENSG00000105550","ENSRNOG00000017819","ENSRNOG00000005871","ENSRNOG00000010819","ENSRNOG00000016050","ENSRNOG00000005589","ENSRNOG00000005250","ENSRNOG00000001258","ENSRNOG00000012772"
"ENSG00000117054","ENSG00000134962","ENSG00000174516","ENSG00000169252",NA,"ENSRNOG00000037563","ENSRNOG00000043189","ENSRNOG00000020035","ENSRNOG00000012237","ENSRNOG00000013300","ENSRNOG00000011071","ENSRNOG00000049771"
NA,"ENSG00000004799","ENSG00000137193","ENSG00000119912",NA,"ENSRNOG00000045636","ENSRNOG00000005801","ENSRNOG00000015124","ENSRNOG00000000981","ENSRNOG00000015385","ENSRNOG00000008843","ENSRNOG00000011497"
NA,"ENSG00000171862","ENSG00000145022","ENSG00000169245",NA,"ENSRNOG00000061527","ENSRNOG00000013956","ENSRNOG00000049771","ENSRNOG00000054423","ENSRNOG00000029726","ENSRNOG00000019290","ENSRNOG00000021201"
NA,"ENSG00000139531","ENSG00000003393","ENSG00000137462",NA,NA,"ENSRNOG00000022196","ENSRNOG00000019217","ENSRNOG00000012864","ENSRNOG00000037815","ENSRNOG00000014429","ENSRNOG00000010800"
NA,"ENSG00000101294","ENSG00000183273","ENSG00000007171",NA,NA,"ENSRNOG00000009572","ENSRNOG00000000157","ENSRNOG00000016573","ENSRNOG00000021463","ENSRNOG00000005916","ENSRNOG00000019868"
NA,"ENSG00000169083","ENSG00000204839","ENSG00000142168",NA,NA,"ENSRNOG00000006582","ENSRNOG00000000258","ENSRNOG00000005420","ENSRNOG00000052745","ENSRNOG00000016494","ENSRNOG00000007990"
NA,"ENSG00000154229","ENSG00000125676",NA,NA,NA,"ENSRNOG00000003359","ENSRNOG00000008755","ENSRNOG00000059579","ENSRNOG00000017871","ENSRNOG00000003424","ENSRNOG00000013634"
NA,"ENSG00000170099","ENSG00000139624",NA,NA,NA,"ENSRNOG00000007131","ENSRNOG00000037815",NA,"ENSRNOG00000026455","ENSRNOG00000020950","ENSRNOG00000020729"
