PHH_common_all,PHH_DEG_Steatosis,PHH_SVM_DEGs,PHH_SVM_Steatosis,PRH_common_all,PRH_DEG_Steatosis,PRH_SVM_DEGs,PRH_SVM_Steatosis,RLT_common_all,RLT_DEG_Steatosis,RLT_SVM_DEGs,RLT_SVM_Steatosis
ULK1,GPT2,GNB3,RDX,CD14,HAMP,FNIP2,FGFR1,DHRS7,ABCG5,NUAK1,NQO1
NA,KLB,RN7SL301P,FGF21,NA,IL1RN,HSPA4L,CYP17A1,RDX,GSTM1,SNX8,GSTT1
NA,SUOX,PELI3,ADRB2,NA,CD68,TRUB2,GSTT1,PEMT,ACAD10,NT5E,TXNIP
NA,HM13,PIM1,IDE,NA,NA,STX17,ADRB2,ERN1,MET,PSKH1,PSMA5
NA,AR,TCTA,CXCL10,NA,NA,RNF38,ATG12,ABCG8,SIDT2,ARFGAP2,ADIPOR2
NA,PRKCA,ALS2,TLR2,NA,NA,BMPR2,PRMT7,GPT2,GPD1L,PPM1A,MYD88
NA,SERPINA6,CCDC60,NOS2,NA,NA,HGFAC,ACAD10,NA,EIF2AK1,TMEM204,STC2
NA,LRP6,MROH6,NA,NA,NA,APTX,SHC1,NA,STS,ELAC2,NR5A2
NA,SIDT2,THOC2,NA,NA,NA,OGT,COL3A1,NA,KEAP1,SYVN1,PLAU
NA,VLDLR,CERS5,NA,NA,NA,PAXIP1,JAK2,NA,NEIL1,LAPTM4B,ADRB3
NA,FTO,GPR153,NA,NA,NA,DIP2B,CPS1,NA,IL13RA2,TMEM19,IL1RN
NA,SIRT2,LCMT1,NA,NA,NA,CAST,FTO,NA,TIMP1,MARCHF6,EPAS1
NA,EPAS1,ENSG00000267458,NA,NA,NA,NIBAN1,CD163,NA,ATG7,SEC22A,IGFBP7
NA,ATP7B,IL17RC,NA,NA,NA,POLR2A,ANGPTL4,NA,PRKAA1,TSPAN18,NA
NA,TF,SECISBP2L,NA,NA,NA,ENPEP,NGF,NA,NA,CLCN4,NA
NA,PRMT7,TBX3,NA,NA,NA,DIS3L2,STS,NA,NA,YKT6,NA
NA,ATG7,RNF41,NA,NA,NA,RSRP1,LGALS3,NA,NA,KHNYN,NA
NA,CYP7B1,ZMAT5,NA,NA,NA,PDIA5,UBD,NA,NA,TMEM132A,NA
NA,NR5A2,HECTD1,NA,NA,NA,GINM1,NA,NA,NA,APPL1,NA
NA,CD14,CHD9,NA,NA,NA,NNAT,NA,NA,NA,FGFR3,NA
NA,CEBPB,MT3,NA,NA,NA,TOR1AIP2,NA,NA,NA,USP8,NA
NA,SIRT6,HAGHL,NA,NA,NA,EVA1A,NA,NA,NA,PAQR9,NA
NA,SAMM50,ZNF776,NA,NA,NA,CPQ,NA,NA,NA,AQP1,NA
NA,SHC1,CADPS2,NA,NA,NA,NA,NA,NA,NA,OS9,NA
NA,STS,MBTPS1-DT,NA,NA,NA,NA,NA,NA,NA,LRRC71,NA
NA,CPS1,TMED8,NA,NA,NA,NA,NA,NA,NA,RCOR1,NA
NA,SERPINF1,PPP2R2D,NA,NA,NA,NA,NA,NA,NA,DICER1,NA
NA,MAT1A,HDAC5,NA,NA,NA,NA,NA,NA,NA,OCEL1,NA
NA,ABCG8,PHACTR4,NA,NA,NA,NA,NA,NA,NA,GUCY1A1,NA
NA,AZGP1,FAM221A,NA,NA,NA,NA,NA,NA,NA,SLC33A1,NA
NA,HHEX,RALY-AS1,NA,NA,NA,NA,NA,NA,NA,HSPA13,NA
NA,ABCG5,CNP,NA,NA,NA,NA,NA,NA,NA,SEPSECS,NA
NA,IRS1,IFI6,NA,NA,NA,NA,NA,NA,NA,GPLD1,NA
NA,PPDPF,SLC40A1,NA,NA,NA,NA,NA,NA,NA,STK25,NA
NA,BECN1,RAB8A,NA,NA,NA,NA,NA,NA,NA,TGFBR2,NA
NA,PHYH,ABCD1,NA,NA,NA,NA,NA,NA,NA,UGT2B10,NA
NA,MMP1,GOLIM4,NA,NA,NA,NA,NA,NA,NA,CEBPA,NA
NA,TNFRSF1B,VIRMA,NA,NA,NA,NA,NA,NA,NA,RGS3,NA
NA,SERPINA1,TPP1,NA,NA,NA,NA,NA,NA,NA,TP53INP2,NA
NA,MFN2,AAGAB,NA,NA,NA,NA,NA,NA,NA,NID2,NA
NA,EIF2AK1,TMEM223,NA,NA,NA,NA,NA,NA,NA,ENSRNOG00000023828,NA
NA,ABCB1,ALCAM,NA,NA,NA,NA,NA,NA,NA,PJA1,NA
NA,F2,AP3B1,NA,NA,NA,NA,NA,NA,NA,SPAG7,NA
NA,TRIB1,NCBP1,NA,NA,NA,NA,NA,NA,NA,FAHD1,NA
NA,STAT3,WDCP,NA,NA,NA,NA,NA,NA,NA,AKT2,NA
NA,EIF2AK3,TMOD1,NA,NA,NA,NA,NA,NA,NA,TSC22D3,NA
NA,MYD88,PMS2P1,NA,NA,NA,NA,NA,NA,NA,PRPSAP1,NA
NA,NA,ELOA-AS1,NA,NA,NA,NA,NA,NA,NA,PCNT,NA
NA,NA,MIGA2,NA,NA,NA,NA,NA,NA,NA,BANP,NA
NA,NA,HIKESHI,NA,NA,NA,NA,NA,NA,NA,TNKS2,NA
NA,NA,MBL2,NA,NA,NA,NA,NA,NA,NA,ENSRNOG00000057601,NA
NA,NA,NPM1P22,NA,NA,NA,NA,NA,NA,NA,LSM3,NA
NA,NA,UBAC2,NA,NA,NA,NA,NA,NA,NA,NHERF1,NA
NA,NA,STAT1,NA,NA,NA,NA,NA,NA,NA,CDC42EP1,NA
NA,NA,ZBED5-AS1,NA,NA,NA,NA,NA,NA,NA,SIAE,NA
NA,NA,PLEKHA4,NA,NA,NA,NA,NA,NA,NA,GSTM4,NA
NA,NA,ATG4C,NA,NA,NA,NA,NA,NA,NA,ENSRNOG00000004147,NA
NA,NA,LAMTOR3,NA,NA,NA,NA,NA,NA,NA,PNPLA7,NA
NA,NA,POLR2I,NA,NA,NA,NA,NA,NA,NA,SHPK,NA
NA,NA,GATA6-AS1,NA,NA,NA,NA,NA,NA,NA,POLDIP2,NA
NA,NA,C6orf226,NA,NA,NA,NA,NA,NA,NA,IL16,NA
NA,NA,NAA30,NA,NA,NA,NA,NA,NA,NA,OR51E2,NA
NA,NA,EPB41L5,NA,NA,NA,NA,NA,NA,NA,RAB3GAP1,NA
NA,NA,RBMY2MP,NA,NA,NA,NA,NA,NA,NA,LRBA,NA
NA,NA,KIF9,NA,NA,NA,NA,NA,NA,NA,PCYT2,NA
NA,NA,FAM110C,NA,NA,NA,NA,NA,NA,NA,PEX14,NA
NA,NA,SRPK3,NA,NA,NA,NA,NA,NA,NA,SLC66A2,NA
NA,NA,TNPO3,NA,NA,NA,NA,NA,NA,NA,TTYH3,NA
NA,NA,ZNF765,NA,NA,NA,NA,NA,NA,NA,TENT5C,NA
NA,NA,TIGD1,NA,NA,NA,NA,NA,NA,NA,NTF3,NA
NA,NA,IGLV2-14,NA,NA,NA,NA,NA,NA,NA,ARAF,NA
NA,NA,PEX11G,NA,NA,NA,NA,NA,NA,NA,TRMT44,NA
NA,NA,IFT22,NA,NA,NA,NA,NA,NA,NA,NGDN,NA
NA,NA,TPSAB1,NA,NA,NA,NA,NA,NA,NA,PSMG4,NA
NA,NA,KCNT2,NA,NA,NA,NA,NA,NA,NA,DVL1,NA
