PHH_common_all,PHH_DEG_Steatosis,PHH_SVM_DEGs,PHH_SVM_Steatosis,PRH_common_all,PRH_DEG_Steatosis,PRH_SVM_DEGs,PRH_SVM_Steatosis,RLT_common_all,RLT_DEG_Steatosis,RLT_SVM_DEGs,RLT_SVM_Steatosis
INSR,PPARA,BPGM,SOD1,GPT,FASN,NA,PLIN2,GCK,INSR,ECI1,ECH1
ACADM,PDK4,GK,NA,NA,GCK,NA,GPAM,SCARB1,ATP5IF1,POLRMT,ALDH1B1
NA,PTEN,NDUFS1,NA,NA,NA,NA,ACOX1,DGAT2,PINK1,POLG,HADHB
NA,MLYCD,NDUFC1,NA,NA,NA,NA,ACADVL,NA,PPARA,ECHDC3,IRS2
NA,PRKACA,GPAT4,NA,NA,NA,NA,APOA1,NA,ACACA,FADS2,NR1H4
NA,HADHB,TIMM29,NA,NA,NA,NA,HADHA,NA,ABCA1,ACOX2,G6PD
NA,GSR,NDUFB3,NA,NA,NA,NA,SCARB1,NA,MTTP,POLG2,GPAM
NA,ACACB,STARD3,NA,NA,NA,NA,NA,NA,CYP1A2,KHK,AHR
NA,NR1I2,ME2,NA,NA,NA,NA,NA,NA,SREBF1,SORT1,CYP7A1
NA,MLXIPL,NCF2,NA,NA,NA,NA,NA,NA,NA,SLC25A23,ADH4
NA,ALDH4A1,PDE8A,NA,NA,NA,NA,NA,NA,NA,LRPAP1,ACOX1
NA,NR1H4,NA,NA,NA,NA,NA,NA,NA,NA,NA,PTEN
NA,ATP5F1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLC2A2
NA,APOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,MLYCD
NA,APOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,LDLR
NA,CAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DGAT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ECH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IDH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SREBF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ACOX1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CYP27A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MTTP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ABCA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SCARB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIRT3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,HADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SLC27A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ALDH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PINK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AKT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PNPLA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ADH4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
