# NAME= PHH_DEG_Steatosis 
name	color
GPT2	#33FF57
PPARA	#33FF57
KLB	#33FF57
PDK4	#33FF57
PTEN	#33FF57
SUOX	#33FF57
HM13	#33FF57
AR	#33FF57
PRKCA	#33FF57
SERPINA6	#33FF57
MLYCD	#33FF57
LRP6	#33FF57
SIDT2	#33FF57
PRKACA	#33FF57
VLDLR	#33FF57
HADHB	#33FF57
FTO	#33FF57
GSR	#33FF57
SIRT2	#33FF57
EPAS1	#33FF57
ATP7B	#33FF57
ACACB	#33FF57
TF	#33FF57
PRMT7	#33FF57
ATG7	#33FF57
CYP7B1	#33FF57
NR1I2	#33FF57
MLXIPL	#33FF57
NR5A2	#33FF57
CD14	#33FF57
CEBPB	#33FF57
ALDH4A1	#33FF57
NR1H4	#33FF57
ATP5F1B	#33FF57
APOE	#33FF57
APOB	#33FF57
SIRT6	#33FF57
SAMM50	#33FF57
CAT	#33FF57
DGAT2	#33FF57
ECH1	#33FF57
IDH2	#33FF57
SREBF1	#33FF57
ACOX1	#33FF57
CYP27A1	#33FF57
MTTP	#33FF57
ABCA1	#33FF57
SCARB1	#33FF57
SIRT3	#33FF57
HADHA	#33FF57
GPT	#33FF57
SHC1	#33FF57
STS	#33FF57
CPS1	#33FF57
SERPINF1	#33FF57
MAT1A	#33FF57
ABCG8	#33FF57
AZGP1	#33FF57
HHEX	#33FF57
ABCG5	#33FF57
IRS1	#33FF57
SLC27A4	#33FF57
PPDPF	#33FF57
BECN1	#33FF57
ALDH2	#33FF57
PINK1	#33FF57
AKT1	#33FF57
PHYH	#33FF57
MMP1	#33FF57
TNFRSF1B	#33FF57
SERPINA1	#33FF57
MFN2	#33FF57
PNPLA3	#33FF57
EIF2AK1	#33FF57
ABCB1	#33FF57
F2	#33FF57
TRIB1	#33FF57
STAT3	#33FF57
EIF2AK3	#33FF57
MYD88	#33FF57
ADH4	#33FF57
