# NAME= PHH_SVM_DEGs 
name	color
GNB3	#3357FF
RN7SL301P	#3357FF
PELI3	#3357FF
PIM1	#3357FF
TCTA	#3357FF
ALS2	#3357FF
CCDC60	#3357FF
MROH6	#3357FF
THOC2	#3357FF
CERS5	#3357FF
GPR153	#3357FF
LCMT1	#3357FF
ENSG00000267458	#3357FF
IL17RC	#3357FF
SECISBP2L	#3357FF
BPGM	#3357FF
TBX3	#3357FF
RNF41	#3357FF
ZMAT5	#3357FF
HECTD1	#3357FF
CHD9	#3357FF
MT3	#3357FF
HAGHL	#3357FF
ZNF776	#3357FF
CADPS2	#3357FF
MBTPS1-DT	#3357FF
GK	#3357FF
TMED8	#3357FF
PPP2R2D	#3357FF
HDAC5	#3357FF
PHACTR4	#3357FF
FAM221A	#3357FF
RALY-AS1	#3357FF
CNP	#3357FF
IFI6	#3357FF
SLC40A1	#3357FF
RAB8A	#3357FF
NDUFS1	#3357FF
ABCD1	#3357FF
GOLIM4	#3357FF
VIRMA	#3357FF
TPP1	#3357FF
AAGAB	#3357FF
TMEM223	#3357FF
ALCAM	#3357FF
AP3B1	#3357FF
NCBP1	#3357FF
WDCP	#3357FF
TMOD1	#3357FF
PMS2P1	#3357FF
ELOA-AS1	#3357FF
MIGA2	#3357FF
HIKESHI	#3357FF
MBL2	#3357FF
NPM1P22	#3357FF
UBAC2	#3357FF
STAT1	#3357FF
ZBED5-AS1	#3357FF
PLEKHA4	#3357FF
ATG4C	#3357FF
LAMTOR3	#3357FF
POLR2I	#3357FF
GATA6-AS1	#3357FF
C6orf226	#3357FF
NAA30	#3357FF
EPB41L5	#3357FF
RBMY2MP	#3357FF
KIF9	#3357FF
FAM110C	#3357FF
SRPK3	#3357FF
TNPO3	#3357FF
ZNF765	#3357FF
TIGD1	#3357FF
IGLV2-14	#3357FF
PEX11G	#3357FF
IFT22	#3357FF
TPSAB1	#3357FF
KCNT2	#3357FF
ENSG00000261829	#3357FF
MAPRE2	#3357FF
ARHGEF16	#3357FF
ZBTB25	#3357FF
PRPSAP2	#3357FF
GM2A	#3357FF
UNC5B	#3357FF
ZNF138	#3357FF
NDUFC1	#3357FF
ENSG00000242861	#3357FF
TARS3	#3357FF
ZNF561	#3357FF
LIMK2	#3357FF
CYP3A5	#3357FF
COQ4	#3357FF
BCL9	#3357FF
SUDS3	#3357FF
ZNF227	#3357FF
BCL6	#3357FF
BAHD1	#3357FF
PNMA6A	#3357FF
FBH1	#3357FF
CD276	#3357FF
RIT1	#3357FF
ARID4B	#3357FF
FBXW7	#3357FF
AP4E1	#3357FF
RAB40B	#3357FF
ZNF232-AS1	#3357FF
MGAT1	#3357FF
TRMT2A	#3357FF
TMEM38A	#3357FF
CCDC126	#3357FF
EBAG9	#3357FF
GIHCG	#3357FF
GPAT4	#3357FF
MANBA	#3357FF
STARD8	#3357FF
USP5	#3357FF
PTPN1	#3357FF
CCNH	#3357FF
MAGEF1	#3357FF
SP140L	#3357FF
SH3YL1	#3357FF
MCAT	#3357FF
TYW1	#3357FF
MUC3A	#3357FF
TTC32	#3357FF
LRRC37B	#3357FF
HAAO	#3357FF
YARS2	#3357FF
EVI5	#3357FF
AXIN1	#3357FF
ANKRD54	#3357FF
CALR	#3357FF
FBXO34	#3357FF
SLC9A6	#3357FF
GON4L	#3357FF
EXOC1	#3357FF
GOLGA4	#3357FF
MTIF3	#3357FF
BIRC6	#3357FF
CLTA	#3357FF
S100PBP	#3357FF
PCMTD2	#3357FF
PHYHIPL	#3357FF
NUDCD2	#3357FF
RASSF1-AS1	#3357FF
ENSG00000286388	#3357FF
RGL2	#3357FF
TIMM50	#3357FF
TRIM37	#3357FF
LRCH1	#3357FF
NEK1	#3357FF
STK16	#3357FF
CDC34	#3357FF
MTX2	#3357FF
CBR1	#3357FF
DTWD2	#3357FF
TPST1	#3357FF
MINDY3	#3357FF
ITGA7	#3357FF
GCN1	#3357FF
SETX	#3357FF
KATNIP	#3357FF
EIF5A	#3357FF
NHLRC3	#3357FF
TRPM7	#3357FF
ARFRP1	#3357FF
MBOAT7	#3357FF
DYM	#3357FF
TMEM115	#3357FF
HPS3	#3357FF
RTP3	#3357FF
UBE4A	#3357FF
SMAD5	#3357FF
UBOX5	#3357FF
FHOD1	#3357FF
KXD1	#3357FF
SGMS1	#3357FF
PPIG	#3357FF
NCK2	#3357FF
PRELID2	#3357FF
C2orf49	#3357FF
AKAP17A	#3357FF
ZCCHC17	#3357FF
DNM2	#3357FF
COG7	#3357FF
SRGAP2	#3357FF
IL15	#3357FF
DDAH2	#3357FF
C6orf47	#3357FF
LINC00652	#3357FF
TRIM38	#3357FF
PAK1	#3357FF
ZBTB18	#3357FF
KLHL25	#3357FF
NAP1L5	#3357FF
TIMM29	#3357FF
KIAA1958	#3357FF
ENKD1	#3357FF
MFSD11	#3357FF
SLC10A1	#3357FF
CD40	#3357FF
NUDT22	#3357FF
NDUFB3	#3357FF
DGKQ	#3357FF
ATP23	#3357FF
FAM193B	#3357FF
HIF1AN	#3357FF
ASB7	#3357FF
APP	#3357FF
STARD3	#3357FF
LINC00847	#3357FF
AKAP13	#3357FF
PHLDB3	#3357FF
ABCA2	#3357FF
SFXN2	#3357FF
PLIN3	#3357FF
SLC9A7	#3357FF
KIAA0232	#3357FF
ZNF266	#3357FF
KIFAP3	#3357FF
C12orf76	#3357FF
SNTB2	#3357FF
TMT1B	#3357FF
TM2D3	#3357FF
SLC39A14	#3357FF
LINC01503	#3357FF
BOLA3	#3357FF
B4GALT4	#3357FF
CAMK2G	#3357FF
MAFG	#3357FF
CENPT	#3357FF
NAT9	#3357FF
ME2	#3357FF
CTDP1	#3357FF
ZSCAN29	#3357FF
NCF2	#3357FF
KMT2C	#3357FF
EXTL2	#3357FF
DHX36	#3357FF
SBNO1	#3357FF
ZNFX1	#3357FF
PARG	#3357FF
PLPPR2	#3357FF
PLD2	#3357FF
CCDC85C	#3357FF
MPV17L2	#3357FF
THAP7	#3357FF
DAAM1	#3357FF
IL1R1	#3357FF
RAB11FIP1	#3357FF
NDFIP2	#3357FF
MYL12A	#3357FF
PCCA-DT	#3357FF
CLDN14	#3357FF
TOP3A	#3357FF
TAOK2	#3357FF
ZBTB48	#3357FF
SMAP2	#3357FF
IRF2BPL	#3357FF
SLC1A4	#3357FF
GOLGA2	#3357FF
LEMD2	#3357FF
ABHD8	#3357FF
LGI3	#3357FF
ZFYVE27	#3357FF
PBX3	#3357FF
KIAA0753	#3357FF
FBXO38	#3357FF
PDE8A	#3357FF
TAF6	#3357FF
