# NAME= RLT_SVM_DEGs 
name	color
NUAK1	#FFB533
SNX8	#FFB533
NT5E	#FFB533
ECI1	#FFB533
PSKH1	#FFB533
ARFGAP2	#FFB533
PPM1A	#FFB533
TMEM204	#FFB533
ELAC2	#FFB533
SYVN1	#FFB533
LAPTM4B	#FFB533
TMEM19	#FFB533
MARCHF6	#FFB533
SEC22A	#FFB533
TSPAN18	#FFB533
CLCN4	#FFB533
YKT6	#FFB533
KHNYN	#FFB533
TMEM132A	#FFB533
APPL1	#FFB533
FGFR3	#FFB533
POLRMT	#FFB533
USP8	#FFB533
PAQR9	#FFB533
AQP1	#FFB533
OS9	#FFB533
LRRC71	#FFB533
POLG	#FFB533
ECHDC3	#FFB533
RCOR1	#FFB533
DICER1	#FFB533
OCEL1	#FFB533
GUCY1A1	#FFB533
SLC33A1	#FFB533
HSPA13	#FFB533
SEPSECS	#FFB533
GPLD1	#FFB533
STK25	#FFB533
TGFBR2	#FFB533
UGT2B10	#FFB533
FADS2	#FFB533
CEBPA	#FFB533
RGS3	#FFB533
TP53INP2	#FFB533
NID2	#FFB533
ENSRNOG00000023828	#FFB533
PJA1	#FFB533
ACOX2	#FFB533
SPAG7	#FFB533
FAHD1	#FFB533
AKT2	#FFB533
TSC22D3	#FFB533
PRPSAP1	#FFB533
PCNT	#FFB533
BANP	#FFB533
POLG2	#FFB533
TNKS2	#FFB533
KHK	#FFB533
ENSRNOG00000057601	#FFB533
LSM3	#FFB533
NHERF1	#FFB533
CDC42EP1	#FFB533
SIAE	#FFB533
GSTM4	#FFB533
ENSRNOG00000004147	#FFB533
PNPLA7	#FFB533
SHPK	#FFB533
POLDIP2	#FFB533
IL16	#FFB533
OR51E2	#FFB533
RAB3GAP1	#FFB533
LRBA	#FFB533
PCYT2	#FFB533
PEX14	#FFB533
SLC66A2	#FFB533
TTYH3	#FFB533
TENT5C	#FFB533
NTF3	#FFB533
ARAF	#FFB533
TRMT44	#FFB533
NGDN	#FFB533
PSMG4	#FFB533
DVL1	#FFB533
SORT1	#FFB533
WDR11	#FFB533
SLC25A23	#FFB533
PPP1R15B	#FFB533
SEPHS1	#FFB533
HSPB1	#FFB533
GYPC	#FFB533
GGT5	#FFB533
CHM	#FFB533
CTSF	#FFB533
CCPG1	#FFB533
MTMR1	#FFB533
OSBPL11	#FFB533
FLT1	#FFB533
LRPAP1	#FFB533
LRP4	#FFB533
NDST1	#FFB533
NOA1	#FFB533
SESN1	#FFB533
ZNF76	#FFB533
STK38L	#FFB533
ADAR	#FFB533
EVL	#FFB533
DHRS3	#FFB533
DYM	#FFB533
AP1B1	#FFB533
